date,time,title,tournament,game-id,home-team,away-team,pre-match_odds_home,pre-match_odds_draw,pre-match_odds_away
07-09-25,19:45,Belgium vs Kazakhstan,International World Cup Qualification UEFA,38546,Belgium,Kazakhstan,1.06,13.0,37.0
07-09-25,19:45,Germany vs Northern Ireland,International World Cup Qualification UEFA,28608,Germany,Northern Ireland,1.17,7.4,16.5
07-09-25,19:45,Luxembourg vs Slovakia,International World Cup Qualification UEFA,30128,Luxembourg,Slovakia,5.1,3.4,1.78
07-09-25,19:45,Poland vs Finland,International World Cup Qualification UEFA,26246,Poland,Finland,1.49,4.3,6.9
07-09-25,19:45,Turkey vs Spain,International World Cup Qualification UEFA,26222,Turkey,Spain,5.7,4.5,1.53
07-09-25,17:30,Almeria vs Racing Santander,Spain LaLiga 2,25621,Almeria,Racing Santander,1.78,3.9,4.1
07-09-25,17:30,Cultural Leonesa vs Leganes,Spain LaLiga 2,29106,Cultural Leonesa,Leganes,2.85,3.1,2.55
07-09-25,00:00,Sporting Kansas City vs Austin FC,USA MLS,20642,Sporting Kansas City,Austin FC,2.35,3.86,2.9
07-09-25,20:00,Criciuma EC SC vs Chapecoense SC,Brazil Brasileiro Serie B,15608,Criciuma EC SC,Chapecoense SC,2.05,3.1,4.0
07-09-25,22:30,America FC MG vs Operario Ferroviario EC PR,Brazil Brasileiro Serie B,28718,America FC MG,Operario Ferroviario EC PR,2.1,3.1,3.9
07-09-25,00:30,Avai FC SC vs Goias EC GO,Brazil Brasileiro Serie B,26974,Avai FC SC,Goias EC GO,2.15,3.0,3.75
07-09-25,00:00,Deportes Limache vs Deportes La Serena,Chile Copa Chile,26808,Deportes Limache,Deportes La Serena,2.05,3.4,3.3
07-09-25,20:00,Envigado FC vs Aguilas Doradas Rionegro,"Colombia Primera A, Clausura",36043,Envigado FC,Aguilas Doradas Rionegro,2.95,2.9,2.6
07-09-25,22:10,America de Cali vs AD Cali,"Colombia Primera A, Clausura",30438,America de Cali,AD Cali,1.7,3.33,5.4
07-09-25,00:20,Independiente Medellin vs Atletico Nacional Medellin,"Colombia Primera A, Clausura",35062,Independiente Medellin,Atletico Nacional Medellin,2.75,2.95,2.7
07-09-25,19:00,Cobresal vs CD Palestino,Chile Primera Division,21035,Cobresal,CD Palestino,2.55,3.33,2.6
07-09-25,19:00,Costa Brava de General Pico vs Kimberley de Mar Del Plata,Argentina Torneo Federal A,12731,Costa Brava de General Pico,Kimberley de Mar Del Plata,1.79,3.1,5.0
07-09-25,19:00,CS Estudiantes San Luis vs Germinal,Argentina Torneo Federal A,34324,CS Estudiantes San Luis,Germinal,2.15,3.0,3.5
07-09-25,19:00,Guillermo Brown vs CA Juventud Unida Universitario San Luis,Argentina Torneo Federal A,34336,Guillermo Brown,CA Juventud Unida Universitario San Luis,2.1,2.9,3.75
07-09-25,19:30,CA Bartolome Mitre vs Linqueno,Argentina Torneo Federal A,33513,CA Bartolome Mitre,Linqueno,1.96,3.1,4.0
07-09-25,19:30,Sp. Belgrano de S. F. vs CA Sarmiento de la Banda,Argentina Torneo Federal A,29363,Sp. Belgrano de S. F.,CA Sarmiento de la Banda,1.84,3.1,4.8
07-09-25,19:30,Sportivo General San Martin vs Gimnasia de Chivilcoy,Argentina Torneo Federal A,33731,Sportivo General San Martin,Gimnasia de Chivilcoy,1.73,3.25,5.1
07-09-25,20:00,Gimnasia Y Esgrima vs Def. de Belgrano de Villa Ramallo,Argentina Torneo Federal A,20663,Gimnasia Y Esgrima,Def. de Belgrano de Villa Ramallo,1.52,3.5,7.2
07-09-25,20:00,Huracan Las Heras vs CD Santamarina Tandil,Argentina Torneo Federal A,44462,Huracan Las Heras,CD Santamarina Tandil,2.1,2.95,3.8
07-09-25,20:00,San Martin de Mendoza vs Gutierrez SC,Argentina Torneo Federal A,34757,San Martin de Mendoza,Gutierrez SC,1.29,4.9,9.9
07-09-25,20:00,Sportivo Las Parejas vs Club Sportivo Ben Hur,Argentina Torneo Federal A,34776,Sportivo Las Parejas,Club Sportivo Ben Hur,1.79,3.25,4.6
07-09-25,20:30,Sportivo Y Biblioteca Atenas vs Cipolletti,Argentina Torneo Federal A,22607,Sportivo Y Biblioteca Atenas,Cipolletti,2.4,2.8,3.25
07-09-25,21:05,Atletico de Rafaela vs CA 9 de Julio Rafaela,Argentina Torneo Federal A,33599,Atletico de Rafaela,CA 9 de Julio Rafaela,1.64,3.33,5.75
07-09-25,21:00,Oakland Roots SC vs Pittsburgh Riverhounds,USA USL Championship,16042,Oakland Roots SC,Pittsburgh Riverhounds,3.3,3.1,2.2
07-09-25,20:00,Columbus Crew 2 vs Inter Miami CF II,USA MLS Next Pro,31829,Columbus Crew 2,Inter Miami CF II,1.71,4.4,3.7
07-09-25,22:00,Cucuta Deportivo FC vs CD Real Santander,Colombia Primera B,25315,Cucuta Deportivo FC,CD Real Santander,1.31,4.75,9.3
07-09-25,23:00,Real Cartagena FC vs Barranquilla FC,Colombia Primera B,34964,Real Cartagena FC,Barranquilla FC,1.29,5.1,9.0
07-09-25,00:00,Spokane Velocity FC vs Westchester SC,USA USL League One,37072,Spokane Velocity FC,Westchester SC,1.53,4.2,5.3
07-09-25,19:00,CD Santa Cruz vs Deportes Magallanes,Chile Primera B,18400,CD Santa Cruz,Deportes Magallanes,2.4,3.2,2.9
07-09-25,21:30,Deportes Concepcion vs CD Cobreloa Calama,Chile Primera B,25492,Deportes Concepcion,CD Cobreloa Calama,2.45,3.0,2.95
07-09-25,19:30,CA Progreso vs Miramar Misiones,Uruguay Primera Division,24814,CA Progreso,Miramar Misiones,2.15,3.25,3.4
07-09-25,22:00,Club Nacional de Football vs Racing Club Montevideo,Uruguay Primera Division,35532,Club Nacional de Football,Racing Club Montevideo,1.52,4.1,5.8
07-09-25,00:30,Montevideo City Torque vs Liverpool Montevideo,Uruguay Primera Division,35551,Montevideo City Torque,Liverpool Montevideo,2.05,3.25,3.6
07-09-25,17:30,CD Quintanar del Rey vs CF Intercity,Spain Segunda Federacion,34385,CD Quintanar del Rey,CF Intercity,2.9,3.0,2.2
07-09-25,17:45,Reus FC Reddis vs Girona FC B,Spain Segunda Federacion,39289,Reus FC Reddis,Girona FC B,2.2,3.0,2.9
07-09-25,18:00,CD Alcoyano vs Valencia CF Mestalla,Spain Segunda Federacion,34386,CD Alcoyano,Valencia CF Mestalla,1.84,3.1,3.8
07-09-25,18:00,CD Extremadura vs MALAGA B,Spain Segunda Federacion,41078,CD Extremadura,MALAGA B,2.0,2.95,3.4
07-09-25,18:00,CD Tudelano vs SD Beasain,Spain Segunda Federacion,40329,CD Tudelano,SD Beasain,2.2,2.9,3.0
07-09-25,18:00,Utebo FC vs CD Basconia,Spain Segunda Federacion,40314,Utebo FC,CD Basconia,1.96,3.1,3.33
07-09-25,18:30,Orihuela CF vs CF Fuenlabrada,Spain Segunda Federacion,34413,Orihuela CF,CF Fuenlabrada,2.1,2.85,3.33
07-09-25,19:00,CA Antoniano vs FC La Union Atletico,Spain Segunda Federacion,26524,CA Antoniano,FC La Union Atletico,2.95,2.5,2.5
07-09-25,19:00,Xerez Deportivo FC vs Club Deportiva Minera,Spain Segunda Federacion,41084,Xerez Deportivo FC,Club Deportiva Minera,2.35,2.9,2.8
07-09-25,21:00,Comerciantes FC vs FC San Marcos,Peru Liga 2,25692,Comerciantes FC,FC San Marcos,1.56,3.5,5.8
07-09-25,00:00,Tepatitlan FC vs Leones Negros UDEG,"Mexico Liga de Expansion MX, Apertura",16707,Tepatitlan FC,Leones Negros UDEG,2.0,3.5,3.4
07-09-25,18:15,Gimnasia Y Esgrima Mendoza vs Gimnasia y Esgrima de Jujuy,Argentina Primera Nacional,12242,Gimnasia Y Esgrima Mendoza,Gimnasia y Esgrima de Jujuy,1.92,2.75,5.1
07-09-25,20:00,Mitre Santiago Del Estero vs CA Defensores de Belgrano,Argentina Primera Nacional,27783,Mitre Santiago Del Estero,CA Defensores de Belgrano,2.15,2.7,4.0
07-09-25,20:15,Deportivo Madryn vs Club Atletico Los Andes,Argentina Primera Nacional,38006,Deportivo Madryn,Club Atletico Los Andes,1.63,3.3,6.2
07-09-25,21:00,Central Norte Salta vs Agropecuario Argentino,Argentina Primera Nacional,35447,Central Norte Salta,Agropecuario Argentino,2.25,2.85,3.5
07-09-25,22:00,Racing de Cordoba vs CA Patronato Parana,Argentina Primera Nacional,39935,Racing de Cordoba,CA Patronato Parana,2.2,2.85,3.6
07-09-25,23:00,CA Chaco For Ever vs Chacarita Juniors,Argentina Primera Nacional,38007,CA Chaco For Ever,Chacarita Juniors,2.05,2.8,4.25
07-09-25,19:00,FK Vozdovac Belgrade vs FK Tekstilac Odzaci,Serbia Prva Liga,35463,FK Vozdovac Belgrade,FK Tekstilac Odzaci,1.44,3.7,6.0
07-09-25,19:00,Uruguay Montevideo FC vs CA Artigas,Uruguay Segunda Division,41391,Uruguay Montevideo FC,CA Artigas,2.05,3.1,3.5
07-09-25,19:30,CA Rentistas vs Tacuarembo FC,Uruguay Segunda Division,41416,CA Rentistas,Tacuarembo FC,2.1,3.1,3.33
07-09-25,19:30,Argentino de Rosario vs CA Atlas,Argentina Primera C,39951,Argentino de Rosario,CA Atlas,1.58,3.8,5.75
07-09-25,19:30,General Lamadrid vs Club Estrella Del Sur (Alejandro Korn),Argentina Primera C,28565,General Lamadrid,Club Estrella Del Sur (Alejandro Korn),2.2,2.9,3.6
07-09-25,00:00,Municipal Liberia vs Sporting FC,"Costa Rica Primera Division, Apertura",32371,Municipal Liberia,Sporting FC,1.81,3.5,4.2
07-09-25,18:00,Arosa SC vs Silva SD,"Spain Amateur Tercera Federacion, Group 1",36752,Arosa SC,Silva SD,1.67,3.4,4.8
07-09-25,18:00,Bollullos CF vs Club Atletico Central,"Spain Amateur Tercera Federacion, Group 10",45109,Bollullos CF,Club Atletico Central,2.3,2.9,3.1
07-09-25,18:00,CD Ciudad de Lucena vs CD Utrera,"Spain Amateur Tercera Federacion, Group 10",30310,CD Ciudad de Lucena,CD Utrera,1.8,3.2,4.4
07-09-25,18:00,CD San Roque de Lepe vs Coria CF,"Spain Amateur Tercera Federacion, Group 10",45110,CD San Roque de Lepe,Coria CF,1.99,3.0,3.75
